step,optimal_robot0,optimal_robot1,greedy_robot0,greedy_robot1,replanned_robot0,replanned_robot1,original_optimum_prefix_variance,greedy_prefix_variance,miss_then_continue_prefix_variance,miss_then_replan_prefix_variance
0,1,5,1,5,1,5,0.7366817303447337,0.7366817303447337,0.7366817303447337,0.7366817303447337
1,0,4,1,5,0,4,0.4226466308213274,0.32071944324403395,0.6038591866405999,0.6038591866405999
2,0,5,0,6,0,5,0.2908806362471026,0.2022725268447276,0.3111083883131567,0.3111083883131567
3,1,6,1,5,1,6,0.16105592277815012,0.16877828569701422,0.1720712685942504,0.1720712685942504
4,2,6,2,4,2,6,0.12017136789112937,0.12363891623256582,0.1311128159171019,0.1311128159171019
