method,mask,step,latent_ivar
robust_optimum,step3_robot0,3,0.23309398652963845
robust_optimum,step3_robot0,4,0.14405932259332052
robust_optimum,step3_robot1,0,0.7366817303447337
robust_optimum,step3_robot1,1,0.4226466308213274
robust_optimum,step3_robot1,2,0.2908806362471026
robust_optimum,step3_robot1,3,0.21875700970503895
robust_optimum,step3_robot1,4,0.13111281591710186
robust_optimum,step4_robot0,0,0.7366817303447337
robust_optimum,step4_robot0,1,0.4226466308213274
robust_optimum,step4_robot0,2,0.2908806362471026
robust_optimum,step4_robot0,3,0.16105592277815012
robust_optimum,step4_robot0,4,0.15010564470612175
robust_optimum,step4_robot1,0,0.7366817303447337
robust_optimum,step4_robot1,1,0.4226466308213274
robust_optimum,step4_robot1,2,0.2908806362471026
robust_optimum,step4_robot1,3,0.16105592277815012
robust_optimum,step4_robot1,4,0.13111281591710186
