case,row,column,covariance
initial,2,3,0.14877861242752932
initial,2,4,-0.13647553025917714
initial,2,5,-0.11248141659610164
initial,2,6,-0.03272041787616456
initial,3,0,0.01395161780261632
initial,3,1,0.061245196011608494
initial,3,2,0.14877861242752932
initial,3,3,0.20000000000000007
initial,3,4,0.14877861242752932
initial,3,5,0.061245196011608494
initial,3,6,0.01395161780261632
initial,4,0,-0.03272041787616456
initial,4,1,-0.11248141659610164
initial,4,2,-0.13647553025917714
initial,4,3,0.14877861242752932
initial,4,4,0.5572984896827804
initial,4,5,0.5616535565284633
initial,4,6,0.264711933302193
initial,5,0,-0.016475964593868592
initial,5,1,-0.066225851810322
initial,5,2,-0.11248141659610164
initial,5,3,0.061245196011608494
initial,5,4,0.5616535565284633
initial,5,5,0.9249805193099931
initial,5,6,0.7268036707976409
initial,6,0,-0.0038692729715249456
initial,6,1,-0.016475964593868592
initial,6,2,-0.03272041787616456
initial,6,3,0.01395161780261632
initial,6,4,0.264711933302193
initial,6,5,0.7268036707976409
initial,6,6,0.9961070472137944
original_optimum_terminal,0,0,0.10125577939955566
original_optimum_terminal,0,1,0.03289962208666386
original_optimum_terminal,0,2,-0.007071319074069715
original_optimum_terminal,0,3,-0.0021237915967353
original_optimum_terminal,0,4,0.0016348821114459764
original_optimum_terminal,0,5,-0.00016903526125843003
original_optimum_terminal,0,6,-8.160978244945955e-05
original_optimum_terminal,1,0,0.03289962208666386
original_optimum_terminal,1,1,0.12459944627210295
original_optimum_terminal,1,2,0.06509776804916378
original_optimum_terminal,1,3,-0.008955820054428687
original_optimum_terminal,1,4,-0.005835963932363547
original_optimum_terminal,1,5,0.003085274548949843
original_optimum_terminal,1,6,-0.00016903526125842797
original_optimum_terminal,2,0,-0.007071319074069715
original_optimum_terminal,2,1,0.06509776804916378
original_optimum_terminal,2,2,0.12975330892229753
original_optimum_terminal,2,3,0.06291192129707779
original_optimum_terminal,2,4,-0.00884301233204382
original_optimum_terminal,2,5,-0.005835963932363561
original_optimum_terminal,2,6,0.0016348821114459747
original_optimum_terminal,3,0,-0.0021237915967353
original_optimum_terminal,3,1,-0.008955820054428687
original_optimum_terminal,3,2,0.06291192129707779
original_optimum_terminal,3,3,0.12998250604999306
original_optimum_terminal,3,4,0.0629119212970779
original_optimum_terminal,3,5,-0.008955820054428631
original_optimum_terminal,3,6,-0.0021237915967353
original_optimum_terminal,4,0,0.0016348821114459764
original_optimum_terminal,4,1,-0.005835963932363547
original_optimum_terminal,4,2,-0.00884301233204382
original_optimum_terminal,4,3,0.0629119212970779
original_optimum_terminal,4,4,0.12975330892229753
original_optimum_terminal,4,5,0.0650977680491639
original_optimum_terminal,4,6,-0.007071319074069771
original_optimum_terminal,5,0,-0.00016903526125843003
original_optimum_terminal,5,1,0.003085274548949843
original_optimum_terminal,5,2,-0.005835963932363561
original_optimum_terminal,5,3,-0.008955820054428631
original_optimum_terminal,5,4,0.0650977680491639
original_optimum_terminal,5,5,0.12459944627210329
original_optimum_terminal,5,6,0.03289962208666375
original_optimum_terminal,6,0,-8.160978244945955e-05
original_optimum_terminal,6,1,-0.00016903526125842797
original_optimum_terminal,6,2,0.0016348821114459747
original_optimum_terminal,6,3,-0.0021237915967353
original_optimum_terminal,6,4,-0.007071319074069771
original_optimum_terminal,6,5,0.03289962208666375
original_optimum_terminal,6,6,0.10125577939955555
miss_replanned_terminal,0,0,0.17018439269574726
